                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                  1.056,                0.61227,                 1.0714,                0.83484,                0.78042,                0.83146,                0.55629,                 1.2651,                0.74238,                 1.1866,              0.0017378,              0.0017378,              0.0017378
                    112,                 1.0371,                0.60046,                 1.0653,                0.83959,                0.77981,                0.83243,                0.55744,                 1.2634,                0.74258,                 1.1877,              0.0016615,              0.0016615,              0.0016615
                    113,                 1.0457,                0.60432,                 1.0702,                0.82861,                0.80445,                0.83314,                0.56027,                 1.2618,                0.74149,                 1.1878,              0.0015867,              0.0015867,              0.0015867
                    114,                 1.0287,                0.60068,                 1.0717,                0.84279,                0.77782,                0.83325,                0.55868,                  1.261,                0.73973,                 1.1884,              0.0015134,              0.0015134,              0.0015134
                    115,                 1.0123,                0.58508,                   1.06,                 0.8344,                0.79478,                0.83522,                0.56074,                 1.2616,                0.73751,                 1.1881,              0.0014416,              0.0014416,              0.0014416
                    116,                  1.024,                0.60221,                 1.0705,                0.84524,                0.79136,                0.83594,                0.55981,                 1.2574,                 0.7345,                 1.1891,              0.0013714,              0.0013714,              0.0013714
                    117,                 1.0253,                0.59691,                 1.0573,                0.84203,                0.79308,                0.83475,                0.56078,                 1.2535,                0.73404,                 1.1872,              0.0013029,              0.0013029,              0.0013029
                    118,                 1.0275,                0.60109,                 1.0759,                0.84055,                0.79262,                0.83377,                0.56084,                 1.2548,                0.73729,                   1.19,               0.001236,               0.001236,               0.001236
                    119,                 1.0238,                0.59076,                  1.066,                0.83878,                0.78971,                0.83324,                0.55596,                 1.2584,                0.73771,                 1.1913,              0.0011707,              0.0011707,              0.0011707
                    120,                 1.0201,                0.59238,                 1.0559,                0.83743,                0.78422,                0.83349,                0.55964,                 1.2591,                0.73913,                 1.1918,              0.0011072,              0.0011072,              0.0011072
                    121,                 1.0036,                0.58094,                 1.0556,                0.83399,                0.78904,                0.83394,                0.56178,                 1.2589,                 0.7396,                 1.1914,              0.0010454,              0.0010454,              0.0010454
                    122,                 0.9993,                0.58412,                 1.0569,                0.83402,                0.79307,                0.83323,                0.56043,                 1.2597,                0.73861,                 1.1931,             0.00098531,             0.00098531,             0.00098531
                    123,                 1.0008,                0.57523,                  1.047,                 0.8256,                0.79411,                0.83274,                0.55935,                 1.2596,                 0.7383,                 1.1934,             0.00092704,             0.00092704,             0.00092704
                    124,                 1.0185,                0.58755,                 1.0649,                0.87186,                0.75066,                0.83298,                0.55859,                 1.2611,                0.73902,                 1.1934,             0.00087058,             0.00087058,             0.00087058
                    125,                 1.0053,                0.57813,                 1.0511,                 0.8505,                0.77146,                0.83254,                0.55752,                 1.2607,                0.73906,                  1.194,             0.00081595,             0.00081595,             0.00081595
                    126,                 1.0003,                0.58149,                 1.0466,                0.85277,                0.77199,                0.83273,                0.55937,                 1.2598,                0.73834,                 1.1934,             0.00076317,             0.00076317,             0.00076317
                    127,                0.99411,                0.57554,                 1.0442,                0.84559,                0.77775,                0.83315,                0.55836,                 1.2592,                0.73938,                 1.1947,             0.00071228,             0.00071228,             0.00071228
                    128,                 1.0006,                0.57558,                 1.0533,                0.83882,                0.78368,                0.83192,                0.55575,                 1.2585,                0.74043,                 1.1935,             0.00066329,             0.00066329,             0.00066329
                    129,                 0.9873,                0.56747,                 1.0447,                0.84091,                0.77541,                0.83114,                 0.5585,                 1.2578,                0.74067,                 1.1939,             0.00061623,             0.00061623,             0.00061623
                    130,                0.99449,                0.58108,                 1.0504,                0.81943,                0.78816,                0.83068,                0.55689,                 1.2565,                0.74077,                 1.1935,             0.00057111,             0.00057111,             0.00057111
