epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.0427,3.9811,3.0846,0.5345,0.03761,0.02393,0.0066,3.3952,3.1164,2.6203,0.070056,0.0033271,0.0033271
2,3.0585,3.0737,2.3847,0.3353,0.17485,0.10256,0.03764,2.6915,2.7005,2.1243,0.040055,0.0066597,0.0066597
3,2.4725,2.5766,1.9875,0.39614,0.14878,0.10955,0.0463,2.4158,2.7035,1.9689,0.010052,0.0099894,0.0099894
4,2.2209,2.3216,1.8156,0.5047,0.31682,0.30182,0.1393,1.9772,1.8264,1.6187,0.0099902,0.0099902,0.0099902
5,2.0563,2.0681,1.6874,0.59507,0.37727,0.40599,0.20182,1.7826,1.5911,1.5059,0.0099826,0.0099826,0.0099826
6,1.9685,1.929,1.6162,0.53888,0.43193,0.43714,0.23022,1.7467,1.5267,1.4663,0.0099729,0.0099729,0.0099729
7,1.9002,1.8071,1.5782,0.59692,0.46034,0.49246,0.25342,1.7021,1.47,1.434,0.009961,0.009961,0.009961
8,1.848,1.725,1.5279,0.55871,0.49924,0.52718,0.27454,1.6629,1.3454,1.396,0.0099469,0.0099469,0.0099469
9,1.8044,1.6623,1.5218,0.55003,0.51772,0.53118,0.28133,1.6063,1.304,1.3636,0.0099307,0.0099307,0.0099307
10,1.7662,1.5663,1.4714,0.66917,0.51384,0.55767,0.30558,1.5904,1.2582,1.3576,0.0099123,0.0099123,0.0099123
11,1.7452,1.5207,1.4446,0.59364,0.55819,0.58295,0.32328,1.5557,1.1944,1.3365,0.0098918,0.0098918,0.0098918
12,1.7033,1.469,1.4288,0.58687,0.54292,0.59734,0.33432,1.5263,1.1691,1.3185,0.0098692,0.0098692,0.0098692
13,1.6894,1.4243,1.4211,0.59622,0.56302,0.61033,0.3491,1.5195,1.1235,1.3062,0.0098445,0.0098445,0.0098445
14,1.659,1.392,1.4167,0.60071,0.57484,0.62469,0.35762,1.4899,1.1169,1.2943,0.0098177,0.0098177,0.0098177
15,1.6457,1.3625,1.4048,0.7608,0.55439,0.62796,0.36168,1.4869,1.1094,1.3021,0.0097887,0.0097887,0.0097887
16,1.6421,1.3289,1.391,0.61656,0.63676,0.64932,0.3709,1.4775,1.0794,1.2833,0.0097577,0.0097577,0.0097577
17,1.6136,1.2939,1.3698,0.60589,0.62665,0.64905,0.37385,1.4851,1.0562,1.2939,0.0097247,0.0097247,0.0097247
18,1.6007,1.2876,1.3673,0.72694,0.58873,0.67122,0.39018,1.4677,1.0524,1.2781,0.0096895,0.0096895,0.0096895
19,1.5744,1.2663,1.3677,0.75098,0.58986,0.6827,0.39794,1.4598,1.0152,1.2694,0.0096524,0.0096524,0.0096524
20,1.5703,1.2184,1.3514,0.77755,0.60148,0.68652,0.40386,1.4518,1.0195,1.2661,0.0096132,0.0096132,0.0096132
21,1.56,1.2145,1.344,0.72004,0.6365,0.69497,0.41697,1.4302,0.99616,1.2577,0.0095721,0.0095721,0.0095721
22,1.5476,1.1948,1.3386,0.77761,0.60228,0.68777,0.41208,1.4265,1.0023,1.2593,0.0095289,0.0095289,0.0095289
23,1.5357,1.1801,1.3317,0.716,0.65378,0.72143,0.42771,1.4199,0.97381,1.2502,0.0094838,0.0094838,0.0094838
24,1.5226,1.1588,1.3249,0.72623,0.65254,0.7159,0.42572,1.4278,0.95735,1.2565,0.0094367,0.0094367,0.0094367
25,1.5236,1.158,1.3336,0.78029,0.65591,0.73075,0.43555,1.403,0.94641,1.2441,0.0093877,0.0093877,0.0093877
26,1.5111,1.1284,1.3103,0.78628,0.64261,0.74442,0.44993,1.396,0.92394,1.2388,0.0093368,0.0093368,0.0093368
27,1.5047,1.1368,1.323,0.78612,0.6636,0.7461,0.45161,1.4033,0.9278,1.2354,0.0092841,0.0092841,0.0092841
28,1.4783,1.092,1.2932,0.7417,0.6704,0.73679,0.44785,1.3897,0.90466,1.2328,0.0092294,0.0092294,0.0092294
29,1.4816,1.1116,1.309,0.74608,0.65976,0.73466,0.44981,1.381,0.91618,1.2268,0.009173,0.009173,0.009173
30,1.4953,1.0915,1.3079,0.79296,0.68214,0.75985,0.46149,1.3817,0.90471,1.2271,0.0091147,0.0091147,0.0091147
31,1.4642,1.0643,1.29,0.76968,0.6863,0.75366,0.45947,1.375,0.89236,1.2261,0.0090546,0.0090546,0.0090546
32,1.473,1.067,1.3038,0.82321,0.68169,0.77673,0.47656,1.3638,0.88913,1.2218,0.0089928,0.0089928,0.0089928
33,1.4508,1.0451,1.2838,0.7972,0.6678,0.7626,0.4654,1.3658,0.87644,1.2282,0.0089293,0.0089293,0.0089293
34,1.4641,1.0332,1.2738,0.73016,0.71267,0.76523,0.47474,1.3456,0.87023,1.2125,0.008864,0.008864,0.008864
35,1.4342,1.0258,1.2747,0.80391,0.68792,0.77591,0.47797,1.3597,0.86506,1.2157,0.0087971,0.0087971,0.0087971
36,1.4401,1.0271,1.2804,0.82631,0.70536,0.78773,0.48983,1.3582,0.86035,1.2124,0.0087286,0.0087286,0.0087286
37,1.4391,1.0114,1.2823,0.75387,0.71737,0.77614,0.47866,1.3552,0.8465,1.2119,0.0086584,0.0086584,0.0086584
38,1.4425,1.0201,1.2791,0.79359,0.69924,0.78185,0.48408,1.3552,0.85606,1.2112,0.0085866,0.0085866,0.0085866
39,1.4088,0.98182,1.2515,0.79517,0.69926,0.79297,0.49221,1.3449,0.84336,1.2087,0.0085133,0.0085133,0.0085133
40,1.4048,0.98041,1.2516,0.81544,0.71767,0.79606,0.49026,1.3404,0.83368,1.2087,0.0084385,0.0084385,0.0084385
41,1.3962,0.9663,1.2607,0.75724,0.74416,0.8009,0.50405,1.3471,0.83329,1.2083,0.0083622,0.0083622,0.0083622
42,1.3768,0.96095,1.253,0.7952,0.71194,0.79096,0.49735,1.3325,0.83111,1.2026,0.0082844,0.0082844,0.0082844
