epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,289.54,1.69887,2.53484,0.00557,0.73314,0.57843,0.66209,0.39875,1.39821,1.13267,0.00518,0.00998127,0.00332709,0.00998127,0.00332709,0.00998127,0.00332709,0.00998127,0.00332709
2,491.782,1.60249,1.4114,0.00519,0.71969,0.64884,0.72363,0.42567,1.47979,1.12066,0.0053,0.0199791,0.0066597,0.0199791,0.0066597,0.0199791,0.0066597,0.0199791,0.0066597
3,678.442,1.63194,1.39569,0.00534,0.72795,0.66743,0.74891,0.45827,1.41138,1.04367,0.00528,0.0299683,0.00998942,0.0299683,0.00998942,0.0299683,0.00998942,0.0299683,0.00998942
4,860.022,1.63695,1.39945,0.00557,0.70613,0.66361,0.72032,0.43006,1.46394,1.06737,0.00543,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,1040.56,1.61864,1.29813,0.0054,0.72527,0.67514,0.74467,0.44759,1.47463,0.99534,0.00558,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,1222.34,1.60837,1.23254,0.00522,0.77268,0.7024,0.78624,0.48758,1.40716,0.90002,0.00521,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,1403.93,1.59314,1.18428,0.00529,0.72745,0.72742,0.77967,0.46936,1.43015,0.9271,0.00535,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,1585.47,1.59429,1.15462,0.00523,0.74433,0.75935,0.79954,0.50324,1.40028,0.87699,0.00517,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,1766.17,1.57676,1.11469,0.00507,0.76793,0.72204,0.79236,0.49977,1.37955,0.87399,0.00514,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,1946.9,1.55126,1.07451,0.00509,0.79081,0.74335,0.80834,0.50042,1.39085,0.84632,0.0051,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,2128.38,1.52332,1.04869,0.005,0.78873,0.7353,0.811,0.49658,1.39113,0.85389,0.00511,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
12,2309.68,1.53032,1.02106,0.00501,0.79086,0.74664,0.80881,0.51609,1.36125,0.8156,0.00506,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
13,2491.18,1.52295,1.02258,0.00493,0.78121,0.74182,0.81594,0.51401,1.36465,0.8208,0.00502,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
14,2672.99,1.47996,0.98072,0.00479,0.80231,0.76285,0.83,0.52065,1.35884,0.8016,0.00496,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
15,2855.11,1.49144,0.96029,0.00483,0.78896,0.78028,0.82683,0.52854,1.34915,0.80161,0.00501,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
16,3039.53,1.49485,0.94679,0.00482,0.82901,0.73857,0.83528,0.53552,1.35456,0.79727,0.00496,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
17,3221.7,1.48362,0.92689,0.00467,0.81761,0.77268,0.84337,0.53586,1.35834,0.77841,0.00502,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
18,3404.77,1.45819,0.92016,0.00463,0.85082,0.75601,0.84657,0.54148,1.35296,0.77243,0.00502,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
