epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,168.257,1.82338,2.79066,0.00607,0.6646,0.48575,0.51476,0.3064,1.4237,1.38241,0.00532,0.00998127,0.00332709,0.00998127,0.00332709,0.00998127,0.00332709,0.00998127,0.00332709
2,284.139,1.66581,1.6583,0.00545,0.62529,0.60201,0.62966,0.37554,1.42631,1.21371,0.0053,0.0199791,0.0066597,0.0199791,0.0066597,0.0199791,0.0066597,0.0199791,0.0066597
3,394.95,1.68857,1.57623,0.00556,0.71954,0.60231,0.68752,0.40782,1.46226,1.19062,0.00554,0.0299683,0.00998942,0.0299683,0.00998942,0.0299683,0.00998942,0.0299683,0.00998942
4,504.536,1.69021,1.55684,0.00578,0.65767,0.65418,0.69143,0.40565,1.47458,1.10934,0.00556,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,613.744,1.67025,1.45441,0.00558,0.69418,0.64529,0.68692,0.41212,1.50831,1.10384,0.00562,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,722.935,1.65859,1.39921,0.00541,0.76975,0.62678,0.73187,0.43434,1.46479,1.03611,0.00549,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,833.211,1.64979,1.34217,0.00551,0.74514,0.66825,0.74707,0.45499,1.4442,0.98511,0.0054,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,943.643,1.65663,1.32413,0.00547,0.73467,0.687,0.74987,0.4476,1.47172,0.98009,0.00554,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,1053.83,1.63077,1.28992,0.00528,0.73091,0.67182,0.74953,0.45982,1.41327,0.97796,0.00528,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,1164.62,1.62278,1.2388,0.00536,0.75965,0.70337,0.78021,0.47249,1.4323,0.92658,0.00527,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,1275.61,1.59227,1.19996,0.00525,0.74352,0.69635,0.75756,0.46104,1.45583,0.90559,0.00546,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
12,1386.45,1.60336,1.18318,0.00529,0.81531,0.68634,0.78956,0.47636,1.4246,0.90491,0.00526,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
13,1496.32,1.60037,1.18096,0.00524,0.76115,0.71484,0.78138,0.48808,1.41733,0.90038,0.00529,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
14,1606.79,1.56153,1.14073,0.00509,0.77378,0.69488,0.7653,0.47868,1.4005,0.89876,0.0052,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
15,1717.47,1.56721,1.14118,0.00513,0.788,0.72279,0.78711,0.48506,1.42443,0.90239,0.00525,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
16,1827.74,1.58771,1.12279,0.00519,0.82122,0.72995,0.80198,0.50709,1.3952,0.86169,0.00509,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
17,1938.53,1.57819,1.09972,0.00504,0.80254,0.68934,0.78587,0.4981,1.40489,0.84636,0.00519,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
18,2049.03,1.55323,1.09209,0.00501,0.8187,0.71922,0.80465,0.5042,1.41195,0.84381,0.00524,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
19,2159,1.54935,1.09837,0.00522,0.82098,0.70977,0.81244,0.50956,1.39772,0.83853,0.00517,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
20,2269.94,1.54169,1.05293,0.00506,0.78729,0.71928,0.80047,0.50824,1.38656,0.82927,0.00515,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
21,2380.49,1.51894,1.03365,0.00484,0.79559,0.72007,0.79676,0.50715,1.39298,0.83161,0.00516,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
22,2491.4,1.53557,1.0317,0.00497,0.82391,0.69323,0.79007,0.49959,1.37014,0.83645,0.00501,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
