epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,231.995,1.71663,2.69054,0.00562,0.66321,0.55314,0.5944,0.3625,1.4348,1.24184,0.00527,0.00998127,0.00332709,0.00998127,0.00332709,0.00998127,0.00332709,0.00998127,0.00332709
2,392.765,1.61834,1.50607,0.00524,0.71742,0.64192,0.70946,0.42178,1.47374,1.24825,0.00545,0.0199791,0.0066597,0.0199791,0.0066597,0.0199791,0.0066597,0.0199791,0.0066597
3,542.369,1.63289,1.46832,0.00538,0.69087,0.61982,0.68342,0.40737,1.46271,1.13656,0.0055,0.0299683,0.00998942,0.0299683,0.00998942,0.0299683,0.00998942,0.0299683,0.00998942
4,688.655,1.63698,1.47255,0.00556,0.7513,0.62252,0.71286,0.41844,1.48024,1.07492,0.00545,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,834.811,1.62098,1.35671,0.00539,0.76547,0.64032,0.73856,0.44837,1.45013,1.02344,0.00542,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,981.727,1.60507,1.28953,0.00521,0.76215,0.6843,0.75414,0.45558,1.44196,0.95764,0.0054,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,1129.26,1.60803,1.2487,0.00539,0.7566,0.70078,0.76054,0.46726,1.4078,0.94391,0.00527,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,1276.82,1.60441,1.20566,0.00527,0.78473,0.70732,0.79597,0.49301,1.4241,0.89558,0.00528,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,1424.56,1.58299,1.15528,0.0051,0.75375,0.73292,0.79695,0.50068,1.38043,0.87816,0.00513,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,1571.46,1.56232,1.14207,0.00517,0.78379,0.7198,0.79503,0.49176,1.41185,0.89098,0.00522,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,1718.71,1.53914,1.07849,0.00507,0.84134,0.68438,0.80316,0.48631,1.41012,0.88808,0.00526,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
12,1864.83,1.5485,1.07008,0.0051,0.79591,0.72995,0.80374,0.51511,1.36597,0.83256,0.00505,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
13,2010.69,1.54307,1.06163,0.00506,0.80529,0.74094,0.8205,0.5113,1.38112,0.82848,0.00516,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
14,2157.45,1.49927,1.0267,0.00489,0.80895,0.7525,0.82878,0.52163,1.3795,0.8224,0.00506,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
15,2304.59,1.50812,1.00231,0.00491,0.79454,0.75557,0.82185,0.51691,1.39901,0.82983,0.00519,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
16,2452.21,1.50926,0.9958,0.00489,0.82273,0.7574,0.82141,0.52405,1.37395,0.82636,0.00507,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
17,2598.93,1.50387,0.97401,0.00476,0.78648,0.75843,0.82625,0.52286,1.37499,0.80278,0.00503,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
18,2745.7,1.47524,0.97496,0.00472,0.80919,0.77797,0.84836,0.54098,1.35422,0.7836,0.00496,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
19,2892.35,1.46892,0.96584,0.00491,0.81706,0.75954,0.83485,0.53959,1.33795,0.7789,0.00492,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
20,3039.57,1.46857,0.93022,0.00478,0.84787,0.74828,0.85295,0.54802,1.35848,0.75896,0.00506,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
21,3187.14,1.44646,0.90182,0.00458,0.84567,0.75365,0.83899,0.54504,1.34946,0.76596,0.00494,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
22,3334.19,1.45104,0.89149,0.00466,0.8515,0.75986,0.84342,0.54255,1.35097,0.76749,0.00497,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
23,3482.85,1.44183,0.89588,0.00463,0.84784,0.75113,0.83914,0.54113,1.33778,0.77265,0.00492,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
24,3629.82,1.42872,0.87105,0.00475,0.78927,0.81207,0.84486,0.54337,1.34194,0.75223,0.00494,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
25,3776.75,1.41739,0.84041,0.00446,0.82076,0.80324,0.85797,0.55737,1.34103,0.74147,0.00493,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
26,3923.98,1.40599,0.82794,0.0045,0.83318,0.78497,0.85555,0.55613,1.34154,0.75169,0.00491,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
27,4070.51,1.4132,0.83314,0.00445,0.81302,0.77401,0.83377,0.53635,1.33762,0.75437,0.00491,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405
28,4217.4,1.39154,0.8081,0.00436,0.84835,0.77299,0.85119,0.54306,1.33464,0.75038,0.00487,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
29,4364.98,1.38346,0.79726,0.00443,0.84486,0.74892,0.83423,0.551,1.32937,0.75546,0.00493,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296
30,4512.93,1.38593,0.80805,0.00436,0.81153,0.77898,0.84073,0.54376,1.32401,0.74373,0.00488,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,4660.43,1.36816,0.78477,0.00442,0.8318,0.78787,0.85525,0.55185,1.31714,0.73543,0.00483,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,4807.62,1.35791,0.77109,0.00435,0.82068,0.76773,0.84662,0.55545,1.31628,0.7613,0.00484,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,4954.61,1.35631,0.76547,0.00433,0.83478,0.76366,0.83322,0.54177,1.31681,0.75301,0.00484,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,5102.12,1.34032,0.75507,0.00415,0.86365,0.75213,0.84386,0.55405,1.31617,0.74848,0.00482,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,5248.84,1.32248,0.73518,0.0044,0.8095,0.7893,0.84507,0.55584,1.31757,0.7313,0.00484,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
