epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,154.958,1.84598,3.93258,0.00613,0.46666,0.32152,0.26721,0.14696,1.54108,2.57515,0.00567,0.00998127,0.00332709,0.00998127,0.00332709,0.00998127,0.00332709,0.00998127,0.00332709
2,261.96,1.74189,2.58681,0.00569,0.60534,0.41398,0.41377,0.23263,1.53859,1.96587,0.00565,0.0199791,0.0066597,0.0199791,0.0066597,0.0199791,0.0066597,0.0199791,0.0066597
3,365.493,1.76853,2.15373,0.00585,0.62936,0.47119,0.48608,0.27357,1.51916,1.61258,0.00564,0.0299683,0.00998942,0.0299683,0.00998942,0.0299683,0.00998942,0.0299683,0.00998942
4,468.712,1.76582,1.93443,0.00604,0.51323,0.49419,0.51859,0.29257,1.55398,1.45181,0.00579,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,571.682,1.75488,1.75497,0.00588,0.5657,0.52481,0.55933,0.32387,1.51043,1.34159,0.00562,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,674.909,1.75181,1.66248,0.00573,0.62664,0.58224,0.60655,0.353,1.55611,1.24572,0.0059,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,778.045,1.75403,1.57848,0.0059,0.69933,0.55622,0.64262,0.37329,1.54276,1.2481,0.00574,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,881.261,1.7632,1.55182,0.00587,0.64697,0.56253,0.62903,0.35575,1.57757,1.24729,0.00591,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,984.855,1.74618,1.49697,0.0057,0.68648,0.56567,0.66185,0.38989,1.50651,1.14891,0.00571,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,1088.39,1.71915,1.45929,0.00572,0.71773,0.61268,0.68753,0.39977,1.49977,1.10698,0.00558,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,1191.15,1.70537,1.41054,0.00567,0.6637,0.63778,0.69139,0.41306,1.50396,1.11665,0.0056,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
12,1294.04,1.71049,1.40981,0.00568,0.73376,0.60495,0.6889,0.41613,1.47396,1.05664,0.00548,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
13,1395.99,1.71052,1.38026,0.00565,0.73042,0.60184,0.6989,0.41829,1.51369,1.03939,0.00566,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
14,1499.38,1.68119,1.35176,0.00553,0.71729,0.63078,0.70167,0.41915,1.52663,1.06933,0.00579,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
15,1602.09,1.67889,1.34327,0.00553,0.75731,0.66031,0.735,0.44837,1.48495,1.0158,0.00551,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
16,1705.44,1.69445,1.33618,0.00557,0.72785,0.63327,0.70851,0.43165,1.47034,1.00164,0.00546,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
17,1809.61,1.68233,1.31097,0.00542,0.74881,0.67353,0.73143,0.43848,1.48401,0.99857,0.00549,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
18,1916.84,1.66372,1.29763,0.00541,0.7346,0.68735,0.75604,0.45936,1.4948,0.97318,0.00553,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
19,2023.89,1.65982,1.30296,0.00562,0.74157,0.67585,0.73515,0.44723,1.46883,0.96961,0.00543,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
20,2128.7,1.65631,1.25857,0.00543,0.78929,0.63396,0.73238,0.44794,1.46164,0.98498,0.00544,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
21,2234.11,1.64674,1.24954,0.0053,0.78967,0.63688,0.74058,0.45105,1.4774,0.97897,0.00544,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
22,2340.01,1.65889,1.24857,0.00542,0.74232,0.69805,0.76028,0.46862,1.46975,0.94489,0.00547,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
23,2444.95,1.64092,1.25815,0.00536,0.69751,0.65676,0.70746,0.43133,1.45563,0.99528,0.00539,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
24,2549.58,1.64509,1.22339,0.00559,0.73653,0.68682,0.74101,0.45623,1.47446,0.96372,0.00544,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
25,2653.87,1.64528,1.20345,0.00529,0.78807,0.66684,0.76873,0.47423,1.44099,0.91973,0.00527,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
26,2758.75,1.62374,1.18559,0.00529,0.79535,0.69422,0.76897,0.47938,1.44223,0.92982,0.00527,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
27,2863.35,1.64539,1.19348,0.00533,0.73742,0.70191,0.76493,0.47256,1.44787,0.94525,0.00531,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405
28,2968.19,1.62645,1.15788,0.00521,0.82297,0.67976,0.77859,0.48215,1.45605,0.91185,0.00535,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
29,3073.35,1.6138,1.16236,0.00527,0.79298,0.66859,0.76421,0.47626,1.44488,0.92794,0.00524,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296
30,3178.82,1.63079,1.16552,0.00524,0.79594,0.69371,0.77557,0.47946,1.44799,0.9023,0.00528,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,3284.17,1.60851,1.14781,0.0053,0.81616,0.69117,0.77393,0.48391,1.44582,0.89407,0.00528,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,3388.71,1.60345,1.13129,0.00526,0.77469,0.69764,0.76348,0.45831,1.47826,0.90973,0.00537,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,3493.51,1.61245,1.13077,0.00528,0.7922,0.67674,0.76687,0.47806,1.44541,0.90816,0.00533,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,3598.85,1.59681,1.11289,0.00509,0.77453,0.70742,0.78316,0.48135,1.43771,0.91202,0.00529,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,3704.36,1.57238,1.10403,0.00536,0.80506,0.68708,0.77458,0.48192,1.44284,0.89382,0.00524,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,3810.15,1.58043,1.08588,0.00517,0.80767,0.69549,0.79172,0.49982,1.42826,0.88322,0.00521,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,3914.9,1.59943,1.10793,0.00524,0.81917,0.68028,0.766,0.47998,1.43634,0.89738,0.00521,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,4019.68,1.58004,1.10186,0.00508,0.80183,0.6945,0.77791,0.48688,1.42885,0.89686,0.00519,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,4124.1,1.58884,1.08056,0.0051,0.76717,0.70723,0.79153,0.49788,1.44526,0.88069,0.00528,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
40,4227.69,1.60422,1.08252,0.00508,0.81504,0.70754,0.79858,0.49425,1.43454,0.8631,0.00522,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
41,4332.26,1.56312,1.05794,0.0051,0.81163,0.71415,0.79724,0.50132,1.43017,0.86494,0.00521,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
42,4436.81,1.56257,1.06448,0.00498,0.7596,0.74692,0.79354,0.4999,1.40592,0.87365,0.0051,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
43,4541.34,1.56227,1.05919,0.00511,0.75096,0.74832,0.79361,0.50482,1.43852,0.85061,0.00526,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,4646.06,1.57974,1.05811,0.00505,0.83601,0.70056,0.79274,0.50221,1.43542,0.87216,0.00522,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,4751.25,1.54414,1.03292,0.005,0.81033,0.70269,0.79394,0.49831,1.40986,0.86735,0.00513,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,4855.32,1.54492,1.02325,0.00495,0.79321,0.70119,0.78601,0.49491,1.40851,0.87227,0.00513,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,4959.45,1.53925,1.01194,0.00492,0.78613,0.7391,0.7934,0.50094,1.41606,0.86997,0.00515,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,5064.52,1.54334,1.02833,0.0051,0.80921,0.7296,0.79329,0.49995,1.40748,0.86638,0.00506,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,5169.29,1.55498,1.00758,0.00485,0.78153,0.72959,0.7933,0.50776,1.40473,0.84209,0.0051,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,5274.01,1.54959,1.01169,0.00492,0.83024,0.71192,0.80286,0.51686,1.4085,0.84124,0.00512,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,5378.36,1.53744,1.00348,0.00488,0.80299,0.7363,0.80129,0.51652,1.3924,0.83778,0.00506,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,5482.34,1.49435,0.95545,0.00482,0.83633,0.6959,0.80275,0.5116,1.40735,0.83158,0.00513,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,5586.17,1.54695,0.99144,0.00476,0.82853,0.74552,0.81622,0.51975,1.40663,0.83005,0.00512,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,5690.38,1.52353,0.99225,0.00484,0.79788,0.73345,0.80639,0.51696,1.40845,0.8519,0.00513,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,5794.02,1.53835,0.97696,0.00471,0.83197,0.73331,0.81203,0.51322,1.41042,0.84179,0.00513,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,5897.79,1.5464,0.99104,0.00482,0.79413,0.7215,0.7963,0.51054,1.41392,0.83239,0.00516,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,6002.33,1.5126,0.95563,0.00479,0.8441,0.69049,0.80263,0.50826,1.41471,0.84343,0.00517,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
58,6107.3,1.53802,0.97307,0.00478,0.82369,0.73015,0.80948,0.51731,1.40833,0.83186,0.00509,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
59,6211.9,1.49797,0.95784,0.00477,0.81416,0.72879,0.81028,0.5147,1.39495,0.839,0.00509,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
60,6316.56,1.50522,0.93773,0.00481,0.78624,0.74334,0.79506,0.51444,1.4023,0.84033,0.00507,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
61,6422.07,1.49474,0.93878,0.00471,0.83288,0.73521,0.80951,0.52112,1.3865,0.83473,0.00499,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
62,6526.98,1.50159,0.95063,0.00469,0.83726,0.70998,0.80501,0.51207,1.40529,0.82271,0.00512,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
63,6631.86,1.49011,0.92572,0.00481,0.81623,0.72198,0.80263,0.51408,1.39116,0.81602,0.00504,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
64,6736.62,1.46901,0.90566,0.00464,0.81711,0.74631,0.80734,0.51593,1.38927,0.82397,0.00506,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
65,6840.79,1.47658,0.89458,0.00454,0.78849,0.76191,0.80551,0.51512,1.3993,0.81053,0.0051,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034
66,6945.39,1.47515,0.89158,0.00468,0.82208,0.71984,0.7965,0.5134,1.38797,0.82611,0.00508,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
67,7049.96,1.49158,0.90125,0.0046,0.81843,0.74115,0.8066,0.5182,1.38637,0.8208,0.00499,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
68,7155.15,1.4798,0.9,0.00456,0.8245,0.73482,0.80945,0.52393,1.38376,0.81584,0.00503,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551
69,7259.8,1.45904,0.88754,0.00456,0.82999,0.73607,0.81427,0.52437,1.38514,0.81481,0.00504,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311
70,7365.16,1.46498,0.88455,0.00461,0.80793,0.75769,0.8134,0.52535,1.37684,0.81241,0.00498,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
71,7470.53,1.45271,0.87175,0.00446,0.82665,0.75559,0.81903,0.53153,1.38134,0.81067,0.00501,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
72,7575.89,1.48157,0.88604,0.00461,0.83595,0.73579,0.81201,0.52771,1.39175,0.82165,0.00504,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421
73,7681.45,1.43766,0.864,0.00447,0.81979,0.74485,0.81004,0.52577,1.37659,0.81901,0.00503,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
74,7787.25,1.45247,0.87174,0.00443,0.82601,0.7295,0.80982,0.52784,1.37901,0.8095,0.00499,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728
75,7892.35,1.42532,0.85234,0.00447,0.81049,0.76985,0.82472,0.53308,1.38107,0.80376,0.00497,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366
76,7998.07,1.42889,0.84397,0.00444,0.83317,0.76263,0.81979,0.53429,1.38178,0.80161,0.00502,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,8104.16,1.42277,0.85566,0.00442,0.8351,0.7594,0.81553,0.52875,1.37882,0.8235,0.00501,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634
78,8209.57,1.43865,0.84721,0.00429,0.84107,0.71606,0.81549,0.53102,1.3857,0.81247,0.00501,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272
79,8314.83,1.42654,0.83695,0.00441,0.82658,0.7558,0.81366,0.52594,1.38469,0.82978,0.00501,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
80,8420.92,1.41102,0.82951,0.00437,0.82922,0.7362,0.82268,0.53456,1.38021,0.8134,0.005,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579
81,8525.07,1.40871,0.82595,0.00421,0.84768,0.74676,0.82047,0.53327,1.38354,0.81956,0.00502,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
82,8630.14,1.42769,0.83702,0.00435,0.88521,0.71591,0.80765,0.52302,1.38509,0.81542,0.005,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
83,8734.16,1.41097,0.82609,0.00438,0.8399,0.74836,0.81806,0.52826,1.37335,0.81781,0.00498,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689
84,8838.97,1.40863,0.83126,0.00433,0.82336,0.74911,0.80793,0.52277,1.38665,0.80598,0.00501,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449
85,8943.27,1.42298,0.82674,0.00418,0.84307,0.74675,0.81644,0.52849,1.37027,0.80994,0.00496,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
86,9047.49,1.40503,0.81838,0.00432,0.8202,0.74263,0.8095,0.52621,1.36594,0.81909,0.00495,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
87,9151.39,1.39634,0.81187,0.00427,0.83313,0.72923,0.8076,0.52795,1.36387,0.8171,0.00495,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966
88,9258.15,1.38198,0.81499,0.00419,0.83259,0.72375,0.81313,0.53075,1.36587,0.81317,0.00495,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
89,9371.93,1.35965,0.78239,0.00414,0.82448,0.75255,0.81487,0.53333,1.3666,0.81906,0.00495,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885
90,9482.34,1.37242,0.79662,0.00424,0.82569,0.75756,0.81794,0.53555,1.36437,0.81377,0.00494,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929
91,9593.92,1.37358,0.79916,0.00429,0.84416,0.74782,0.82036,0.53442,1.36462,0.80194,0.00495,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
