epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,418.588,1.6782,2.45524,0.00546,0.75592,0.56302,0.69185,0.43116,1.37625,1.04796,0.00502,0.00998127,0.00332709,0.00998127,0.00332709,0.00998127,0.00332709,0.00998127,0.00332709
2,719.093,1.56113,1.31701,0.005,0.73619,0.72069,0.77725,0.46417,1.40822,0.94252,0.0052,0.0199791,0.0066597,0.0199791,0.0066597,0.0199791,0.0066597,0.0199791,0.0066597
3,996.22,1.57531,1.29567,0.00511,0.7251,0.73929,0.77679,0.47287,1.41918,0.94802,0.0053,0.0299683,0.00998942,0.0299683,0.00998942,0.0299683,0.00998942,0.0299683,0.00998942
4,1266.17,1.59641,1.30643,0.00536,0.69796,0.70381,0.74422,0.43225,1.51186,1.0334,0.00547,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,1536.65,1.58804,1.21082,0.00526,0.76743,0.72086,0.79314,0.49353,1.39344,0.90862,0.00518,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,1806.87,1.5727,1.15494,0.00506,0.81891,0.71268,0.80433,0.4965,1.40271,0.88815,0.00524,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,2076.68,1.55678,1.10709,0.00514,0.7631,0.73091,0.80203,0.50846,1.36709,0.85296,0.00504,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,2346.72,1.5587,1.05387,0.00507,0.75095,0.77216,0.81302,0.49271,1.41975,0.84039,0.00523,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,2614.96,1.52561,1.03353,0.00486,0.83385,0.75354,0.84902,0.52936,1.34665,0.79506,0.005,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,2884.91,1.51305,1.00024,0.00494,0.83751,0.73565,0.82406,0.51355,1.35699,0.78739,0.00499,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
